candidate_id,area,crop_path,image_id,captured_at,year,lat,lon,compass_angle,is_pano,creator_username,source_url,license,n_panels_detected,height_native,n_views,ocr_status,ocr_text,ocr_conf
venice_mar_vista/777309779811373_0,venice_mar_vista,crops/venice_mar_vista/777309779811373_0.jpg,777309779811373,2018-03-05T16:28:08.296000+00:00,2018,33.988337393465,-118.45225549624,199.06652832031,False,iandees,https://www.mapillary.com/app/?pKey=777309779811373,CC BY-SA 4.0,3,1203,1,unknown,411,0.567
venice_mar_vista/1206161959833599_0,venice_mar_vista,crops/venice_mar_vista/1206161959833599_0.jpg,1206161959833599,2018-03-26T17:14:59+00:00,2018,33.991081999972,-118.46573159997,105.1,False,fta,https://www.mapillary.com/app/?pKey=1206161959833599,CC BY-SA 4.0,2,806,1,unknown,NUMBER | 616,0.998
venice_mar_vista/505127724256622_0,venice_mar_vista,crops/venice_mar_vista/505127724256622_0.jpg,505127724256622,2016-10-22T00:16:21.529000+00:00,2016,34.014953808203,-118.44225837842,6.1129903793335,False,jopparn,https://www.mapillary.com/app/?pKey=505127724256622,CC BY-SA 4.0,3,754,1,parking,2AM To 6AM | VEHICLES OVER | 7'HIGH OR 22'LONG | CALESHFOR INFORMATION | EXCLIT BY PLRMIT | LAMC B0694 | 4 | HOUR | PARKING | 8AM To 6 PM | DAILY,0.943
venice_mar_vista/193726975900898_0,venice_mar_vista,crops/venice_mar_vista/193726975900898_0.jpg,193726975900898,2016-10-22T00:16:22.523000+00:00,2016,34.014901226473,-118.44222487221,5.4570951461792,False,jopparn,https://www.mapillary.com/app/?pKey=193726975900898,CC BY-SA 4.0,1,609,2,unknown,USE,1.0
venice_mar_vista/267740035033633_0,venice_mar_vista,crops/venice_mar_vista/267740035033633_0.jpg,267740035033633,2016-03-15T17:58:14.810000+00:00,2016,33.990893,-118.464701,201.4094,False,jesolem,https://www.mapillary.com/app/?pKey=267740035033633,CC BY-SA 4.0,1,549,1,unknown,P | A | R | K,0.999
venice_mar_vista/1514585342206324_0,venice_mar_vista,crops/venice_mar_vista/1514585342206324_0.jpg,1514585342206324,2019-12-22T22:37:19.493000+00:00,2019,33.990550392191,-118.47276133839,334.54632568359,False,peterneubauer,https://www.mapillary.com/app/?pKey=1514585342206324,CC BY-SA 4.0,4,568,1,parking,HIAY | PASSENGER | LOADING ONLY | 6:30=91 | 130v=4m | PARKING | 91:30,0.855
venice_mar_vista/461273131840888_0,venice_mar_vista,crops/venice_mar_vista/461273131840888_0.jpg,461273131840888,2016-03-15T23:20:32.533000+00:00,2016,33.990254,-118.467259,44.2934,False,sarawabreus,https://www.mapillary.com/app/?pKey=461273131840888,CC BY-SA 4.0,2,522,1,parking,AM6AM | VEHICLES OVER | T HIGH OR 22' LONG | 12NOON2PM,0.945
venice_mar_vista/1469015956825025_0,venice_mar_vista,crops/venice_mar_vista/1469015956825025_0.jpg,1469015956825025,2016-03-15T17:58:02.323000+00:00,2016,33.991064,-118.46458,211.3015,False,jesolem,https://www.mapillary.com/app/?pKey=1469015956825025,CC BY-SA 4.0,2,547,1,unknown,WE C1 | AT 9 | EVER | PUBLIC | a,0.864
venice_mar_vista/512182189977426_0,venice_mar_vista,crops/venice_mar_vista/512182189977426_0.jpg,512182189977426,2016-10-22T00:26:45.487000+00:00,2016,33.992701269003,-118.46372578174,14.033899307251,False,jopparn,https://www.mapillary.com/app/?pKey=512182189977426,CC BY-SA 4.0,2,510,1,parking,2AM06AM | T HIGH OR 22 LONG | VEHICLES OVER | WESNCSDAT,0.885
venice_mar_vista/804237330502296_0,venice_mar_vista,crops/venice_mar_vista/804237330502296_0.jpg,804237330502296,2016-03-17T16:37:20.374000+00:00,2016,33.995564,-118.474269,215.9913,False,sarawabreus,https://www.mapillary.com/app/?pKey=804237330502296,CC BY-SA 4.0,4,460,1,parking,2AM=6AM | 8AM=10AM,0.955
venice_mar_vista/774343803225900_0,venice_mar_vista,crops/venice_mar_vista/774343803225900_0.jpg,774343803225900,2016-03-15T19:33:28.115000+00:00,2016,33.992383,-118.464851,25.94666,False,sarawabreus,https://www.mapillary.com/app/?pKey=774343803225900,CC BY-SA 4.0,2,504,1,parking,9AM=1lAM,0.82
venice_mar_vista/540898340244104_0,venice_mar_vista,crops/venice_mar_vista/540898340244104_0.jpg,540898340244104,2016-03-15T19:32:54.069000+00:00,2016,33.991047,-118.465476,283.2918,False,sarawabreus,https://www.mapillary.com/app/?pKey=540898340244104,CC BY-SA 4.0,3,438,1,unknown,LOT NU | 616,0.987
venice_mar_vista/1530328888371425_0,venice_mar_vista,crops/venice_mar_vista/1530328888371425_0.jpg,1530328888371425,2026-08-11T16:03:20.713000+00:00,2026,33.9868485721,-118.4301356002,99.559461509963,True,beddy,https://www.mapillary.com/app/?pKey=1530328888371425,CC BY-SA 4.0,3,433,1,unknown,15 | MPH,0.992
venice_mar_vista/1469015956825025_1,venice_mar_vista,crops/venice_mar_vista/1469015956825025_1.jpg,1469015956825025,2016-03-15T17:58:02.323000+00:00,2016,33.991064,-118.46458,211.3015,False,jesolem,https://www.mapillary.com/app/?pKey=1469015956825025,CC BY-SA 4.0,1,545,1,unknown,DALYT,0.669
venice_mar_vista/161944032518945_0,venice_mar_vista,crops/venice_mar_vista/161944032518945_0.jpg,161944032518945,2016-03-17T16:35:53.279000+00:00,2016,33.998191,-118.473822,204.88,False,sarawabreus,https://www.mapillary.com/app/?pKey=161944032518945,CC BY-SA 4.0,5,417,1,parking,R | 2AM 6AM | R | PARKING,0.976
venice_mar_vista/279265100576088_0,venice_mar_vista,crops/venice_mar_vista/279265100576088_0.jpg,279265100576088,2016-03-17T15:32:15.018000+00:00,2016,33.990563,-118.463484,136.5501,False,sarawabreus,https://www.mapillary.com/app/?pKey=279265100576088,CC BY-SA 4.0,2,413,1,unknown,P | A | R | LAMUMBER | 617,0.949
venice_mar_vista/147915430673950_0,venice_mar_vista,crops/venice_mar_vista/147915430673950_0.jpg,147915430673950,2016-03-17T16:35:11.314000+00:00,2016,33.999258,-118.471766,203.4838,False,sarawabreus,https://www.mapillary.com/app/?pKey=147915430673950,CC BY-SA 4.0,3,411,3,parking,R | 2AM | 6AM | R | 2 | PARKING,0.919
venice_mar_vista/146302254131600_0,venice_mar_vista,crops/venice_mar_vista/146302254131600_0.jpg,146302254131600,2016-10-22T00:17:01.504000+00:00,2016,34.014532302241,-118.4425587954,337.38738536835,False,jopparn,https://www.mapillary.com/app/?pKey=146302254131600,CC BY-SA 4.0,1,367,1,unknown,IMIT,1.0
venice_mar_vista/204408477937156_0,venice_mar_vista,crops/venice_mar_vista/204408477937156_0.jpg,204408477937156,2016-03-13T20:52:31.923000+00:00,2016,33.998949,-118.472419,51.78076,False,jesolem,https://www.mapillary.com/app/?pKey=204408477937156,CC BY-SA 4.0,5,375,1,parking,2AM6AM | THICLES | 8AM=10AM,0.93
venice_mar_vista/814045982549669_0,venice_mar_vista,crops/venice_mar_vista/814045982549669_0.jpg,814045982549669,2016-03-17T16:35:29.293000+00:00,2016,33.998927,-118.472407,203.53,False,sarawabreus,https://www.mapillary.com/app/?pKey=814045982549669,CC BY-SA 4.0,4,359,1,parking,R | R | 2AM6AM,0.981
venice_mar_vista/908991449865052_0,venice_mar_vista,crops/venice_mar_vista/908991449865052_0.jpg,908991449865052,2016-03-16T20:41:04.077000+00:00,2016,33.989622,-118.46334,63.03418,False,jesolem,https://www.mapillary.com/app/?pKey=908991449865052,CC BY-SA 4.0,4,384,1,parking,4HOUR | PARKING | 8A6PM,0.873
venice_mar_vista/4041472355909769_0,venice_mar_vista,crops/venice_mar_vista/4041472355909769_0.jpg,4041472355909769,2016-03-15T19:32:52.057000+00:00,2016,33.991021,-118.465374,279.9883,False,sarawabreus,https://www.mapillary.com/app/?pKey=4041472355909769,CC BY-SA 4.0,2,351,1,parking,R | R | 2AM | 6AM,0.986
venice_mar_vista/265620658606407_0,venice_mar_vista,crops/venice_mar_vista/265620658606407_0.jpg,265620658606407,2016-03-17T16:35:51.267000+00:00,2016,33.998332,-118.473558,206.179,False,sarawabreus,https://www.mapillary.com/app/?pKey=265620658606407,CC BY-SA 4.0,3,351,1,parking,NO | HOUR | PARKING | 15 | PARKING,0.96
venice_mar_vista/825902754947519_0,venice_mar_vista,crops/venice_mar_vista/825902754947519_0.jpg,825902754947519,2016-10-22T00:39:36.492000+00:00,2016,33.986848844187,-118.45572996779,15.159691810608,False,jopparn,https://www.mapillary.com/app/?pKey=825902754947519,CC BY-SA 4.0,2,361,1,parking,2AM6AM | VEMICLES OVEN | HICH OK 22 LONG | 730930 | nase,0.809
venice_mar_vista/758601211686822_0,venice_mar_vista,crops/venice_mar_vista/758601211686822_0.jpg,758601211686822,2016-10-22T00:37:10.508000+00:00,2016,33.987327399151,-118.46540304855,14.017057418823,False,jopparn,https://www.mapillary.com/app/?pKey=758601211686822,CC BY-SA 4.0,2,349,1,unknown,veiicc | OVER 6.00025,0.835
venice_mar_vista/453566719275867_0,venice_mar_vista,crops/venice_mar_vista/453566719275867_0.jpg,453566719275867,2017-06-15T10:22:55+00:00,2017,34.009843055556,-118.45619138889,93.632967510564,False,mly_la,https://www.mapillary.com/app/?pKey=453566719275867,CC BY-SA 4.0,4,368,1,parking,7AM109AM | 3P.M06.M.,0.759
venice_mar_vista/191041919402103_0,venice_mar_vista,crops/venice_mar_vista/191041919402103_0.jpg,191041919402103,2016-03-15T19:26:48.478000+00:00,2016,33.990836,-118.464654,44.22546,False,sarawabreus,https://www.mapillary.com/app/?pKey=191041919402103,CC BY-SA 4.0,1,300,1,parking,WE CLOSE | AT 9PM | EVERYDAY | PUBLIC VALET | P,0.973
venice_mar_vista/460587748527714_0,venice_mar_vista,crops/venice_mar_vista/460587748527714_0.jpg,460587748527714,2016-03-16T22:29:16.155000+00:00,2016,33.986859,-118.465377,154.5138,False,jesolem,https://www.mapillary.com/app/?pKey=460587748527714,CC BY-SA 4.0,2,317,3,unknown,15 | MPB,0.892
venice_mar_vista/499440097905867_0,venice_mar_vista,crops/venice_mar_vista/499440097905867_0.jpg,499440097905867,2016-03-17T18:44:12.120000+00:00,2016,33.994411,-118.476382,224.9249,False,jesolem,https://www.mapillary.com/app/?pKey=499440097905867,CC BY-SA 4.0,2,304,1,parking,2AM | 6AM | 10AM=12NOGR,0.945
venice_mar_vista/212359257082060_0,venice_mar_vista,crops/venice_mar_vista/212359257082060_0.jpg,212359257082060,2017-06-14T10:37:10+00:00,2017,33.998336388889,-118.47358,146.85403585144,False,mly_la,https://www.mapillary.com/app/?pKey=212359257082060,CC BY-SA 4.0,5,319,1,parking,2AM | 6AM | 8AN=10AN | PARKING | 8AM 6P | VEHICLES | CVE,0.862
venice_mar_vista/168256785223802_1,venice_mar_vista,crops/venice_mar_vista/168256785223802_1.jpg,168256785223802,2019-12-22T22:35:53.931000+00:00,2019,33.989736865921,-118.47299637952,62.773986816406,False,peterneubauer,https://www.mapillary.com/app/?pKey=168256785223802,CC BY-SA 4.0,1,299,1,parking,NO | PARKING,0.943
venice_mar_vista/1965116367537534_0,venice_mar_vista,crops/venice_mar_vista/1965116367537534_0.jpg,1965116367537534,2026-08-11T16:09:04.855000+00:00,2026,33.995224128933,-118.43806084937,55.424267650816,True,beddy,https://www.mapillary.com/app/?pKey=1965116367537534,CC BY-SA 4.0,1,301,1,unknown,SHARE,0.928
venice_mar_vista/393969638254290_0,venice_mar_vista,crops/venice_mar_vista/393969638254290_0.jpg,393969638254290,2016-03-17T16:36:31.280000+00:00,2016,33.997562,-118.475006,204.3999,False,sarawabreus,https://www.mapillary.com/app/?pKey=393969638254290,CC BY-SA 4.0,3,289,1,unknown,R | R | R,0.976
venice_mar_vista/1110537086140299_0,venice_mar_vista,crops/venice_mar_vista/1110537086140299_0.jpg,1110537086140299,2016-10-22T00:39:14.516000+00:00,2016,33.98738992988,-118.45762818267,7.2862396240234,False,jopparn,https://www.mapillary.com/app/?pKey=1110537086140299,CC BY-SA 4.0,2,304,1,parking,2AM=6AM,0.893
venice_mar_vista/148095643878083_0,venice_mar_vista,crops/venice_mar_vista/148095643878083_0.jpg,148095643878083,2016-10-22T00:21:48.534000+00:00,2016,34.002834989562,-118.45728805214,9.6250782012939,False,jopparn,https://www.mapillary.com/app/?pKey=148095643878083,CC BY-SA 4.0,2,320,1,parking,WATEH | IFN3Pm,0.788
venice_mar_vista/2543536842622410_0,venice_mar_vista,crops/venice_mar_vista/2543536842622410_0.jpg,2543536842622410,2016-03-16T20:40:53.104000+00:00,2016,33.990132,-118.464131,37.68726,False,jesolem,https://www.mapillary.com/app/?pKey=2543536842622410,CC BY-SA 4.0,3,280,1,parking,ARKING | R,0.968
venice_mar_vista/782422666045696_0,venice_mar_vista,crops/venice_mar_vista/782422666045696_0.jpg,782422666045696,2016-03-17T16:37:28.404000+00:00,2016,33.995177,-118.475007,216.4205,False,sarawabreus,https://www.mapillary.com/app/?pKey=782422666045696,CC BY-SA 4.0,2,283,1,unknown,3 | R,0.944
venice_mar_vista/1217471962016115_0,venice_mar_vista,crops/venice_mar_vista/1217471962016115_0.jpg,1217471962016115,2016-03-15T00:59:32.969000+00:00,2016,33.998986,-118.47191,129.9302,False,jesolem,https://www.mapillary.com/app/?pKey=1217471962016115,CC BY-SA 4.0,2,276,1,unknown,R,0.981
venice_mar_vista/2662651274033887_0,venice_mar_vista,crops/venice_mar_vista/2662651274033887_0.jpg,2662651274033887,2018-07-11T22:52:12.952000+00:00,2018,33.995596964484,-118.47465506116,324.25411987305,False,lvl5,https://www.mapillary.com/app/?pKey=2662651274033887,CC BY-SA 4.0,3,281,1,parking,R | 2AM≤6AM,0.948
