candidate_id,area,crop_path,image_id,captured_at,year,lat,lon,compass_angle,is_pano,creator_username,source_url,license,n_panels_detected,height_native,n_views,ocr_status,ocr_text,ocr_conf
downtown/459990738639597_0,downtown,crops/downtown/459990738639597_0.jpg,459990738639597,2015-10-06T12:06:41.060000+00:00,2015,34.05481297,-118.24606831,233.15533828735,False,matikin9,https://www.mapillary.com/app/?pKey=459990738639597,CC BY-SA 4.0,2,1650,1,unknown,LINe | L | A | D | O | T | 0-0 | LADOT,0.919
downtown/808126956777751_0,downtown,crops/downtown/808126956777751_0.jpg,808126956777751,2017-07-29T21:32:47.937000+00:00,2017,34.054066816574,-118.24403558428,109.45330810547,False,lucilleforshort,https://www.mapillary.com/app/?pKey=808126956777751,CC BY-SA 4.0,3,1389,2,parking,PLEASLEASH | AND CLEANU | PLEASE CLEAN UP | AFTER YOUR PET | Dog Waste Bags,0.965
downtown/467429901154153_0,downtown,crops/downtown/467429901154153_0.jpg,467429901154153,2015-10-12T13:22:07.177000+00:00,2015,34.05090564,-118.24448754,128.84799098969,False,matikin9,https://www.mapillary.com/app/?pKey=467429901154153,CC BY-SA 4.0,4,1247,1,parking,MINUTE | 8AM | 8PM | END | ROAD WORK | TOW-AWAY | TEMPORARY | NO | PARKING | 6AM FRIDAY TC | 6AM MONDAY | TOW-AWAY | TEMPORARY | NOPARKING | ANY TIME | ROL | (866)99-C | PATROL | :01 | EMERG,0.961
downtown/262072012282498_0,downtown,crops/downtown/262072012282498_0.jpg,262072012282498,2016-11-16T16:15:15+00:00,2016,34.05498061798,-118.24584122758,42.046985475351,False,chrisbeddow,https://www.mapillary.com/app/?pKey=262072012282498,CC BY-SA 4.0,2,1206,1,unknown,~ | P,0.778
downtown/831182604259365_0,downtown,crops/downtown/831182604259365_0.jpg,831182604259365,2015-10-12T13:22:05.059000+00:00,2015,34.05091879,-118.24450452,133.49503612518,False,matikin9,https://www.mapillary.com/app/?pKey=831182604259365,CC BY-SA 4.0,4,740,1,parking,OFM | ND | WORK | -AWAY | JORARY | PARKING | RIDAYTO | MONDAY | AWAY | ORARY | ARKING | TIME,0.977
downtown/450050762723133_0,downtown,crops/downtown/450050762723133_0.jpg,450050762723133,2015-10-06T12:11:33.034000+00:00,2015,34.05309694,-118.24759144,235.9421710968,False,matikin9,https://www.mapillary.com/app/?pKey=450050762723133,CC BY-SA 4.0,2,594,1,unknown,DETOUR,1.0
downtown/494917368627113_0,downtown,crops/downtown/494917368627113_0.jpg,494917368627113,2020-01-24T20:42:33.227000+00:00,2020,34.048732,-118.248088,130.06985473633,False,turne514,https://www.mapillary.com/app/?pKey=494917368627113,CC BY-SA 4.0,2,621,1,parking,3AM5AM | OINTHE | STREET CLEANING | NIGHTLY | NOSTOPPING | 7AMAM | 4PM 1o 6PM | EXCEPT SATURDAY & SUNDAY | 2 | PARKING | HOUR | GA6 | 4PM | 8AM | SATURDAY | 6PM= | 8PM | 8PM | 1O,0.919
downtown/470217334091689_0,downtown,crops/downtown/470217334091689_0.jpg,470217334091689,2016-05-31T23:06:36.817000+00:00,2016,34.049953,-118.249942,109.9091,False,moeizlack,https://www.mapillary.com/app/?pKey=470217334091689,CC BY-SA 4.0,1,561,2,parking,NOSTOPPING | 7AM 10 9AM | 4PM 10 6PM | EXCEPT SATURDAY & SUNDAY | 2 | HOUR | PARKING | 8AM | 8PM,0.95
downtown/1178406835970596_0,downtown,crops/downtown/1178406835970596_0.jpg,1178406835970596,2020-09-24T20:36:32.010000+00:00,2020,34.0468212,-118.2570419,217.5138092041,False,ekaxi,https://www.mapillary.com/app/?pKey=1178406835970596,CC BY-SA 4.0,1,501,1,unknown,LAZ | PA | RK | 725 | S.GRAND,0.996
downtown/217301226506186_0,downtown,crops/downtown/217301226506186_0.jpg,217301226506186,2015-10-12T12:11:56.433000+00:00,2015,34.05004165,-118.24292899,295.16793823242,False,matikin9,https://www.mapillary.com/app/?pKey=217301226506186,CC BY-SA 4.0,3,516,1,parking,ELECTRIC | VEHICLE | WELL | CHARGING | STATION | AWAY | STOPPING | ANY | TIEE,0.916
downtown/487950375893013_0,downtown,crops/downtown/487950375893013_0.jpg,487950375893013,2016-11-16T16:15:07+00:00,2016,34.054876430923,-118.2459501085,42.046985475351,False,chrisbeddow,https://www.mapillary.com/app/?pKey=487950375893013,CC BY-SA 4.0,1,490,5,parking,Public | Each | Parking | →,0.989
downtown/226526995589854_0,downtown,crops/downtown/226526995589854_0.jpg,226526995589854,2020-06-29T15:54:23.096000+00:00,2020,34.042605,-118.25749166667,36.714077141183,False,ekaxi,https://www.mapillary.com/app/?pKey=226526995589854,CC BY-SA 4.0,2,492,1,parking,NOSTOPPING | 4PM106PM | CXCEPT SAT A SUN | 4 | PARKING | HOUR | 8AM | 8AM | ATH | 4PM | 6PM | PARKING,0.959
downtown/786896305554778_0,downtown,crops/downtown/786896305554778_0.jpg,786896305554778,2017-07-29T21:32:46.857000+00:00,2017,34.053996516234,-118.24402282246,92.051239013672,False,lucilleforshort,https://www.mapillary.com/app/?pKey=786896305554778,CC BY-SA 4.0,1,490,2,parking,PLEASE CLEAN UP | AFTERYOUR PET | Dog Waste Ba,0.954
downtown/370078370990580_0,downtown,crops/downtown/370078370990580_0.jpg,370078370990580,2015-10-12T13:21:58.672000+00:00,2015,34.05095724,-118.2445528,126.64578342438,False,matikin9,https://www.mapillary.com/app/?pKey=370078370990580,CC BY-SA 4.0,4,442,3,unknown,堂 | 15,0.962
downtown/326641155541339_0,downtown,crops/downtown/326641155541339_0.jpg,326641155541339,2020-09-24T20:07:49.979000+00:00,2020,34.047941299999,-118.2526553,218.3165435791,False,ekaxi,https://www.mapillary.com/app/?pKey=326641155541339,CC BY-SA 4.0,3,432,1,parking,OSTOPPING | ANY TIME | TOW-AWAY | STOPPING | SIGHTSEEING | BUS ZONE,0.994
downtown/135902105408917_0,downtown,crops/downtown/135902105408917_0.jpg,135902105408917,2021-08-30T19:17:09.510000+00:00,2021,34.037880332074,-118.25625011882,303.04274413234,False,etunell,https://www.mapillary.com/app/?pKey=135902105408917,CC BY-SA 4.0,2,419,1,unknown,SHARE | THE | ROAD,1.0
downtown/751701222188979_0,downtown,crops/downtown/751701222188979_0.jpg,751701222188979,2020-06-30T15:41:51.659000+00:00,2020,34.047583333333,-118.25680833333,209.16232801105,False,ekaxi,https://www.mapillary.com/app/?pKey=751701222188979,CC BY-SA 4.0,2,389,1,parking,TOW-AWAY | NO STOPPING | ANY | TIME | NO | LEFT TURN | MAY USE | TURN BOX,0.968
